"qg","N","w1","w2","w3","w4","prob"
"a fraction of the",6,"a","fraction","of","the",2.56788415760988e-06
"a friend of mine",6,"a","friend","of","mine",2.56788415760988e-06
"a full day of",5,"a","full","day","of",2.1399034646749e-06
"a glimpse of the",6,"a","glimpse","of","the",2.56788415760988e-06
"a good idea to",11,"a","good","idea","to",4.70778762228478e-06
"a good job of",5,"a","good","job","of",2.1399034646749e-06
"a good place to",7,"a","good","place","to",2.99586485054486e-06
"a good thing but",6,"a","good","thing","but",2.56788415760988e-06
"a good time to",5,"a","good","time","to",2.1399034646749e-06
"a good time with",5,"a","good","time","with",2.1399034646749e-06
"a good way to",15,"a","good","way","to",6.4197103940247e-06
"a great day and",6,"a","great","day","and",2.56788415760988e-06
"a great day for",7,"a","great","day","for",2.99586485054486e-06
"a great day i",5,"a","great","day","i",2.1399034646749e-06
"a great day to",8,"a","great","day","to",3.42384554347984e-06
"a great deal of",12,"a","great","deal","of",5.13576831521976e-06
"a great job of",6,"a","great","job","of",2.56788415760988e-06
"a great place to",7,"a","great","place","to",2.99586485054486e-06
"a great time at",5,"a","great","time","at",2.1399034646749e-06
"a great time to",5,"a","great","time","to",2.1399034646749e-06
"a great way to",16,"a","great","way","to",6.84769108695968e-06
"a growing number of",7,"a","growing","number","of",2.99586485054486e-06
"a heck of a",5,"a","heck","of","a",2.1399034646749e-06
"a hell of a",6,"a","hell","of","a",2.56788415760988e-06
"a hole in the",5,"a","hole","in","the",2.1399034646749e-06
"a huge amount of",6,"a","huge","amount","of",2.56788415760988e-06
"a huge chunk of",5,"a","huge","chunk","of",2.1399034646749e-06
"a huge fan of",8,"a","huge","fan","of",3.42384554347984e-06
"a large number of",7,"a","large","number","of",2.99586485054486e-06
"a lead in the",5,"a","lead","in","the",2.1399034646749e-06
"a little bit more",5,"a","little","bit","more",2.1399034646749e-06
"a little bit of",40,"a","little","bit","of",1.71192277173992e-05
"a little more than",9,"a","little","more","than",3.85182623641482e-06
"a little over a",6,"a","little","over","a",2.56788415760988e-06
"a long line of",6,"a","long","line","of",2.56788415760988e-06
"a long long time",5,"a","long","long","time",2.1399034646749e-06
"a long time ago",14,"a","long","time","ago",5.99172970108972e-06
"a long time and",6,"a","long","time","and",2.56788415760988e-06
"a long time for",5,"a","long","time","for",2.1399034646749e-06
"a long time i",6,"a","long","time","i",2.56788415760988e-06
"a long time to",9,"a","long","time","to",3.85182623641482e-06
"a long way to",7,"a","long","way","to",2.99586485054486e-06
"a look at the",6,"a","look","at","the",2.56788415760988e-06
"a lot like the",7,"a","lot","like","the",2.99586485054486e-06
"a lot more than",6,"a","lot","more","than",2.56788415760988e-06
"a lot of different",5,"a","lot","of","different",2.1399034646749e-06
"a lot of fun",24,"a","lot","of","fun",1.02715366304395e-05
"a lot of good",7,"a","lot","of","good",2.99586485054486e-06
"a lot of guys",5,"a","lot","of","guys",2.1399034646749e-06
"a lot of money",12,"a","lot","of","money",5.13576831521976e-06
"a lot of my",8,"a","lot","of","my",3.42384554347984e-06
"a lot of new",6,"a","lot","of","new",2.56788415760988e-06
"a lot of other",5,"a","lot","of","other",2.1399034646749e-06
"a lot of our",5,"a","lot","of","our",2.1399034646749e-06
"a lot of people",36,"a","lot","of","people",1.54073049456593e-05
"a lot of questions",7,"a","lot","of","questions",2.99586485054486e-06
"a lot of stuff",6,"a","lot","of","stuff",2.56788415760988e-06
"a lot of the",24,"a","lot","of","the",1.02715366304395e-05
"a lot of them",9,"a","lot","of","them",3.85182623641482e-06
"a lot of things",20,"a","lot","of","things",8.55961385869961e-06
"a lot of time",18,"a","lot","of","time",7.70365247282965e-06
"a lot of work",17,"a","lot","of","work",7.27567177989467e-06
"a matter of fact",10,"a","matter","of","fact",4.2798069293498e-06
"a matter of time",7,"a","matter","of","time",2.99586485054486e-06
"a means for sites",8,"a","means","for","sites",3.42384554347984e-06
"a member of the",52,"a","member","of","the",2.2254996032619e-05
"a mi run with",10,"a","mi","run","with",4.2798069293498e-06
"a minute or two",5,"a","minute","or","two",2.1399034646749e-06
"a new version of",5,"a","new","version","of",2.1399034646749e-06
"a nice way to",5,"a","nice","way","to",2.1399034646749e-06
"a pain in the",5,"a","pain","in","the",2.1399034646749e-06
"a part of it",8,"a","part","of","it",3.42384554347984e-06
"a part of me",6,"a","part","of","me",2.56788415760988e-06
"a part of the",11,"a","part","of","the",4.70778762228478e-06
"a part time job",5,"a","part","time","job",2.1399034646749e-06
"a participant in the",8,"a","participant","in","the",3.42384554347984e-06
"a percent increase in",7,"a","percent","increase","in",2.99586485054486e-06
"a period of time",5,"a","period","of","time",2.1399034646749e-06
"a picture of the",7,"a","picture","of","the",2.99586485054486e-06
"a portion of the",5,"a","portion","of","the",2.1399034646749e-06
"a pretty good job",8,"a","pretty","good","job",3.42384554347984e-06
"a project like this",5,"a","project","like","this",2.1399034646749e-06
"a quarter of the",5,"a","quarter","of","the",2.1399034646749e-06
"a result of the",9,"a","result","of","the",3.85182623641482e-06
"a room full of",6,"a","room","full","of",2.56788415760988e-06
"a sense of the",5,"a","sense","of","the",2.1399034646749e-06
"a small amount of",5,"a","small","amount","of",2.1399034646749e-06
"a spokesman for the",13,"a","spokesman","for","the",5.56374900815474e-06
"a spokeswoman for the",10,"a","spokeswoman","for","the",4.2798069293498e-06
"a story about the",5,"a","story","about","the",2.1399034646749e-06
"a tale of two",6,"a","tale","of","two",2.56788415760988e-06
"a thing or two",5,"a","thing","or","two",2.1399034646749e-06
"a third of the",9,"a","third","of","the",3.85182623641482e-06
"a time of with",7,"a","time","of","with",2.99586485054486e-06
"a to m at",5,"a","to","m","at",2.1399034646749e-06
"a trip to the",11,"a","trip","to","the",4.70778762228478e-06
"a variety of ways",5,"a","variety","of","ways",2.1399034646749e-06
"a very long time",5,"a","very","long","time",2.1399034646749e-06
"a visit to the",6,"a","visit","to","the",2.56788415760988e-06
"a waste of time",11,"a","waste","of","time",4.70778762228478e-06
"a way to do",5,"a","way","to","do",2.1399034646749e-06
"a way to get",7,"a","way","to","get",2.99586485054486e-06
"a way to make",9,"a","way","to","make",3.85182623641482e-06
"a week or so",8,"a","week","or","so",3.42384554347984e-06
"a while since i",6,"a","while","since","i",2.56788415760988e-06
"a whole bunch of",9,"a","whole","bunch","of",3.85182623641482e-06
"a whole lot of",15,"a","whole","lot","of",6.4197103940247e-06
"a wide range of",13,"a","wide","range","of",5.56374900815474e-06
"a wide variety of",6,"a","wide","variety","of",2.56788415760988e-06
"a work in progress",5,"a","work","in","progress",2.1399034646749e-06
"a year ago i",5,"a","year","ago","i",2.1399034646749e-06
"a year and a",6,"a","year","and","a",2.56788415760988e-06
"a year old boy",12,"a","year","old","boy",5.13576831521976e-06
"a year old girl",6,"a","year","old","girl",2.56788415760988e-06
"a year old man",12,"a","year","old","man",5.13576831521976e-06
"a year old woman",6,"a","year","old","woman",2.56788415760988e-06
"able to do that",6,"able","to","do","that",2.56788415760988e-06
"able to do this",5,"able","to","do","this",2.1399034646749e-06
"able to get a",5,"able","to","get","a",2.1399034646749e-06
"able to get to",5,"able","to","get","to",2.1399034646749e-06
"about a month ago",7,"about","a","month","ago",2.99586485054486e-06
"about a year ago",5,"about","a","year","ago",2.1399034646749e-06
"about minutes or until",5,"about","minutes","or","until",2.1399034646749e-06
"about percent of the",11,"about","percent","of","the",4.70778762228478e-06
"about the importance of",6,"about","the","importance","of",2.56788415760988e-06
"about the possibility of",5,"about","the","possibility","of",2.1399034646749e-06
"about the state of",5,"about","the","state","of",2.1399034646749e-06
"according to a report",6,"according","to","a","report",2.56788415760988e-06
"according to court documents",6,"according","to","court","documents",2.56788415760988e-06
"according to the report",6,"according","to","the","report",2.56788415760988e-06
"according to the state",6,"according","to","the","state",2.56788415760988e-06
"accounts for percent of",5,"accounts","for","percent","of",2.1399034646749e-06
"across the street from",9,"across","the","street","from",3.85182623641482e-06
"advertising and linking to",8,"advertising","and","linking","to",3.42384554347984e-06
"advertising fees by advertising",8,"advertising","fees","by","advertising",3.42384554347984e-06
"after a couple of",5,"after","a","couple","of",2.1399034646749e-06
"after a long day",5,"after","a","long","day",2.1399034646749e-06
"all a part of",5,"all","a","part","of",2.1399034646749e-06
"all at the same",7,"all","at","the","same",2.99586485054486e-06
"all have a great",5,"all","have","a","great",2.1399034646749e-06
"all i had to",6,"all","i","had","to",2.56788415760988e-06
"all i have to",9,"all","i","have","to",3.85182623641482e-06
"all i hear is",5,"all","i","hear","is",2.1399034646749e-06
"all i know is",11,"all","i","know","is",4.70778762228478e-06
"all i need is",5,"all","i","need","is",2.1399034646749e-06
"all i want is",6,"all","i","want","is",2.56788415760988e-06
"all i want to",8,"all","i","want","to",3.42384554347984e-06
"all in all it",7,"all","in","all","it",2.99586485054486e-06
"all in the name",6,"all","in","the","name",2.56788415760988e-06
"all it takes is",6,"all","it","takes","is",2.56788415760988e-06
"all my new followers",6,"all","my","new","followers",2.56788415760988e-06
"all of a sudden",14,"all","of","a","sudden",5.99172970108972e-06
"all of the above",9,"all","of","the","above",3.85182623641482e-06
"all of them are",5,"all","of","them","are",2.1399034646749e-06
"all of this is",5,"all","of","this","is",2.1399034646749e-06
"all of us at",6,"all","of","us","at",2.56788415760988e-06
"all of us to",5,"all","of","us","to",2.1399034646749e-06
"all of you who",8,"all","of","you","who",3.42384554347984e-06
"all over the country",9,"all","over","the","country",3.85182623641482e-06
"all over the place",16,"all","over","the","place",6.84769108695968e-06
"all over the world",9,"all","over","the","world",3.85182623641482e-06
"all the things i",5,"all","the","things","i",2.1399034646749e-06
"all the things that",9,"all","the","things","that",3.85182623641482e-06
"all the time and",10,"all","the","time","and",4.2798069293498e-06
"all the time but",15,"all","the","time","but",6.4197103940247e-06
"all the time i",10,"all","the","time","i",4.2798069293498e-06
"all the way around",6,"all","the","way","around",2.56788415760988e-06
"all the way from",8,"all","the","way","from",3.42384554347984e-06
"all the way through",5,"all","the","way","through",2.1399034646749e-06
"all the way to",11,"all","the","way","to",4.70778762228478e-06
"all walks of life",5,"all","walks","of","life",2.1399034646749e-06
"all you have to",12,"all","you","have","to",5.13576831521976e-06
"all you need to",6,"all","you","need","to",2.56788415760988e-06
"all your hard work",5,"all","your","hard","work",2.1399034646749e-06
"almost as good as",7,"almost","as","good","as",2.99586485054486e-06
"also one of the",6,"also","one","of","the",2.56788415760988e-06
"always a good time",5,"always","a","good","time",2.1399034646749e-06
"always going to be",6,"always","going","to","be",2.56788415760988e-06
"always wanted to be",8,"always","wanted","to","be",3.42384554347984e-06
"am going to be",8,"am","going","to","be",3.42384554347984e-06
"am i doing this",5,"am","i","doing","this",2.1399034646749e-06
"am i going to",8,"am","i","going","to",3.42384554347984e-06
"am i supposed to",5,"am","i","supposed","to",2.1399034646749e-06
"am i the only",6,"am","i","the","only",2.56788415760988e-06
"am in love with",5,"am","in","love","with",2.1399034646749e-06
"am looking forward to",10,"am","looking","forward","to",4.2798069293498e-06
"am not going to",10,"am","not","going","to",4.2798069293498e-06
"am so excited to",6,"am","so","excited","to",2.56788415760988e-06
"am so grateful for",6,"am","so","grateful","for",2.56788415760988e-06
"am so proud of",8,"am","so","proud","of",3.42384554347984e-06
"amazon ca amazon co",8,"amazon","ca","amazon","co",3.42384554347984e-06
"amazon co uk amazon",8,"amazon","co","uk","amazon",3.42384554347984e-06
"amazon com amazon ca",8,"amazon","com","amazon","ca",3.42384554347984e-06
"amazon de amazon fr",8,"amazon","de","amazon","fr",3.42384554347984e-06
"amazon es certain content",8,"amazon","es","certain","content",3.42384554347984e-06
"amazon eu associates programmes",8,"amazon","eu","associates","programmes",3.42384554347984e-06
"amazon eu this content",8,"amazon","eu","this","content",3.42384554347984e-06
"amazon fr amazon it",8,"amazon","fr","amazon","it",3.42384554347984e-06
"amazon it and amazon",8,"amazon","it","and","amazon",3.42384554347984e-06
"amazon services llc and",16,"amazon","services","llc","and",6.84769108695968e-06
"an all time high",5,"an","all","time","high",2.1399034646749e-06
"an awful lot of",5,"an","awful","lot","of",2.1399034646749e-06
"an hour and a",8,"an","hour","and","a",3.42384554347984e-06
"an hour or so",5,"an","hour","or","so",2.1399034646749e-06
"an important part of",9,"an","important","part","of",3.85182623641482e-06
"an interview with a",5,"an","interview","with","a",2.1399034646749e-06
"an interview with the",7,"an","interview","with","the",2.99586485054486e-06
"and a couple of",11,"and","a","couple","of",4.70778762228478e-06
"and a few other",5,"and","a","few","other",2.1399034646749e-06
"and a half of",5,"and","a","half","of",2.1399034646749e-06
"and a half years",6,"and","a","half","years",2.56788415760988e-06
"and a lot of",20,"and","a","lot","of",8.55961385869961e-06
"and a member of",5,"and","a","member","of",2.1399034646749e-06
"and a sense of",6,"and","a","sense","of",2.56788415760988e-06
"and all the other",9,"and","all","the","other",3.85182623641482e-06
"and amazon es certain",8,"and","amazon","es","certain",3.42384554347984e-06
"and amazon eu associates",8,"and","amazon","eu","associates",3.42384554347984e-06
"and as a result",6,"and","as","a","result",2.56788415760988e-06
"and at the end",5,"and","at","the","end",2.1399034646749e-06
"and at the same",7,"and","at","the","same",2.99586485054486e-06
"and by the time",7,"and","by","the","time",2.99586485054486e-06
"and by the way",8,"and","by","the","way",3.42384554347984e-06
"and came up with",5,"and","came","up","with",2.1399034646749e-06
"and check out the",6,"and","check","out","the",2.56788415760988e-06
"and conspiracy to commit",5,"and","conspiracy","to","commit",2.1399034646749e-06
"and every one of",8,"and","every","one","of",3.42384554347984e-06
"and excited about the",5,"and","excited","about","the",2.1399034646749e-06
"and for some reason",7,"and","for","some","reason",2.99586485054486e-06
"and get a free",5,"and","get","a","free",2.1399034646749e-06
"and get back to",7,"and","get","back","to",2.99586485054486e-06
"and go to sleep",5,"and","go","to","sleep",2.1399034646749e-06
"and have a good",7,"and","have","a","good",2.99586485054486e-06
"and have a great",5,"and","have","a","great",2.1399034646749e-06
"and i am going",6,"and","i","am","going",2.56788415760988e-06
"and i am not",8,"and","i","am","not",3.42384554347984e-06
"and i am so",15,"and","i","am","so",6.4197103940247e-06
"and i cant wait",8,"and","i","cant","wait",3.42384554347984e-06
"and i didnt even",5,"and","i","didnt","even",2.1399034646749e-06
"and i dont know",9,"and","i","dont","know",3.85182623641482e-06
"and i dont like",5,"and","i","dont","like",2.1399034646749e-06
"and i dont see",5,"and","i","dont","see",2.1399034646749e-06
"and i dont think",8,"and","i","dont","think",3.42384554347984e-06
"and i dont want",8,"and","i","dont","want",3.42384554347984e-06
"and i feel like",10,"and","i","feel","like",4.2798069293498e-06
"and i got to",5,"and","i","got","to",2.1399034646749e-06
"and i had a",11,"and","i","had","a",4.70778762228478e-06
"and i had to",6,"and","i","had","to",2.56788415760988e-06
"and i have a",14,"and","i","have","a",5.99172970108972e-06
"and i have been",15,"and","i","have","been",6.4197103940247e-06
"and i have no",8,"and","i","have","no",3.42384554347984e-06
"and i have to",12,"and","i","have","to",5.13576831521976e-06
"and i hope that",9,"and","i","hope","that",3.85182623641482e-06
"and i hope you",5,"and","i","hope","you",2.1399034646749e-06
"and i know that",10,"and","i","know","that",4.2798069293498e-06
"and i live in",5,"and","i","live","in",2.1399034646749e-06
"and i look forward",8,"and","i","look","forward",3.42384554347984e-06
"and i need to",8,"and","i","need","to",3.42384554347984e-06
"and i thank you",5,"and","i","thank","you",2.1399034646749e-06
"and i think i",12,"and","i","think","i",5.13576831521976e-06
"and i think it",5,"and","i","think","it",2.1399034646749e-06
"and i think that",7,"and","i","think","that",2.99586485054486e-06
"and i think the",7,"and","i","think","the",2.99586485054486e-06
"and i took a",6,"and","i","took","a",2.56788415760988e-06
"and i want to",18,"and","i","want","to",7.70365247282965e-06
"and i wanted to",5,"and","i","wanted","to",2.1399034646749e-06
"and i was glad",5,"and","i","was","glad",2.1399034646749e-06
"and i will be",13,"and","i","will","be",5.56374900815474e-06
"and i would be",5,"and","i","would","be",2.1399034646749e-06
"and if you have",8,"and","if","you","have",3.42384554347984e-06
"and im going to",5,"and","im","going","to",2.1399034646749e-06
"and im not sure",6,"and","im","not","sure",2.56788415760988e-06
"and in some cases",7,"and","in","some","cases",2.99586485054486e-06
"and in the end",6,"and","in","the","end",2.56788415760988e-06
"and is expected to",13,"and","is","expected","to",5.56374900815474e-06
"and is one of",5,"and","is","one","of",2.1399034646749e-06
"and is subject to",8,"and","is","subject","to",3.42384554347984e-06
"and it has been",6,"and","it","has","been",2.56788415760988e-06
"and it is a",10,"and","it","is","a",4.2798069293498e-06
"and it looked like",5,"and","it","looked","like",2.1399034646749e-06
"and it was a",14,"and","it","was","a",5.99172970108972e-06
"and it was the",6,"and","it","was","the",2.56788415760988e-06
"and it will be",14,"and","it","will","be",5.99172970108972e-06
"and it would be",5,"and","it","would","be",2.1399034646749e-06
"and let me know",6,"and","let","me","know",2.56788415760988e-06
"and let us know",6,"and","let","us","know",2.56788415760988e-06
"and linking to amazon",8,"and","linking","to","amazon",3.42384554347984e-06
"and lo and behold",6,"and","lo","and","behold",2.56788415760988e-06
"and looking forward to",9,"and","looking","forward","to",3.85182623641482e-06
"and lots of fun",6,"and","lots","of","fun",2.56788415760988e-06
"and no matter how",6,"and","no","matter","how",2.56788415760988e-06
"and of course i",7,"and","of","course","i",2.99586485054486e-06
"and of course the",7,"and","of","course","the",2.99586485054486e-06
"and on and on",8,"and","on","and","on",3.42384554347984e-06
"and on to the",5,"and","on","to","the",2.1399034646749e-06
"and one of my",7,"and","one","of","my",2.99586485054486e-06
"and one of the",20,"and","one","of","the",8.55961385869961e-06
"and open to the",7,"and","open","to","the",2.99586485054486e-06
"and or amazon eu",8,"and","or","amazon","eu",3.42384554347984e-06
"and out of the",5,"and","out","of","the",2.1399034646749e-06
"and over and over",6,"and","over","and","over",2.56788415760988e-06
"and put on a",5,"and","put","on","a",2.1399034646749e-06
"and roll hall of",13,"and","roll","hall","of",5.56374900815474e-06
"and see how it",5,"and","see","how","it",2.1399034646749e-06
"and send it to",5,"and","send","it","to",2.1399034646749e-06
"and sent to the",5,"and","sent","to","the",2.1399034646749e-06
"and some of the",8,"and","some","of","the",3.42384554347984e-06
"and spirit of egalitarian",5,"and","spirit","of","egalitarian",2.1399034646749e-06
"and take care of",6,"and","take","care","of",2.56788415760988e-06
"and thank you for",7,"and","thank","you","for",2.99586485054486e-06
"and thanks for following",5,"and","thanks","for","following",2.1399034646749e-06
"and thanks for the",7,"and","thanks","for","the",2.99586485054486e-06
"and that is not",5,"and","that","is","not",2.1399034646749e-06
"and that is what",5,"and","that","is","what",2.1399034646749e-06
"and that there are",5,"and","that","there","are",2.1399034646749e-06
"and that was the",5,"and","that","was","the",2.1399034646749e-06
"and the ability to",6,"and","the","ability","to",2.56788415760988e-06
"and the fact that",7,"and","the","fact","that",2.99586485054486e-06
"and the rest of",20,"and","the","rest","of",8.55961385869961e-06
"and the winner is",5,"and","the","winner","is",2.1399034646749e-06
"and there is no",5,"and","there","is","no",2.1399034646749e-06
"and there was a",6,"and","there","was","a",2.56788415760988e-06
"and there will be",6,"and","there","will","be",2.56788415760988e-06
"and this is the",6,"and","this","is","the",2.56788415760988e-06
"and this is what",5,"and","this","is","what",2.1399034646749e-06
"and this is why",5,"and","this","is","why",2.1399034646749e-06
"and try to get",6,"and","try","to","get",2.56788415760988e-06
"and we had a",6,"and","we","had","a",2.56788415760988e-06
"and we had to",5,"and","we","had","to",2.1399034646749e-06
"and we have a",7,"and","we","have","a",2.99586485054486e-06
"and we have to",7,"and","we","have","to",2.99586485054486e-06
"and we want to",5,"and","we","want","to",2.1399034646749e-06
"and we will be",5,"and","we","will","be",2.1399034646749e-06
"and went on to",5,"and","went","on","to",2.1399034646749e-06
"and went to the",5,"and","went","to","the",2.1399034646749e-06
"and were going to",6,"and","were","going","to",2.56788415760988e-06
"and would like to",9,"and","would","like","to",3.85182623641482e-06
"and would love to",8,"and","would","love","to",3.42384554347984e-06
"and you have a",8,"and","you","have","a",3.42384554347984e-06
"and you have to",8,"and","you","have","to",3.42384554347984e-06
"and you know it",6,"and","you","know","it",2.56788415760988e-06
"and you know what",11,"and","you","know","what",4.70778762228478e-06
"and you want to",5,"and","you","want","to",2.1399034646749e-06
"anyone with information about",6,"anyone","with","information","about",2.56788415760988e-06
"anything other than a",5,"anything","other","than","a",2.1399034646749e-06
"anything to do with",13,"anything","to","do","with",5.56374900815474e-06
"appeared to be a",6,"appeared","to","be","a",2.56788415760988e-06
"appears on this website",8,"appears","on","this","website",3.42384554347984e-06
"appears to be a",9,"appears","to","be","a",3.85182623641482e-06
"are a couple of",11,"are","a","couple","of",4.70778762228478e-06
"are a few things",5,"are","a","few","things",2.1399034646749e-06
"are a lot of",25,"are","a","lot","of",1.06995173233745e-05
"are going to be",34,"are","going","to","be",1.45513435597893e-05
"are going to do",5,"are","going","to","do",2.1399034646749e-06
"are going to get",5,"are","going","to","get",2.1399034646749e-06
"are going to have",10,"are","going","to","have",4.2798069293498e-06
"are looking for a",6,"are","looking","for","a",2.56788415760988e-06
"are looking forward to",7,"are","looking","forward","to",2.99586485054486e-06
"are not going to",11,"are","not","going","to",4.70778762228478e-06
"are not in the",5,"are","not","in","the",2.1399034646749e-06
"are off to a",5,"are","off","to","a",2.1399034646749e-06
"are one of the",6,"are","one","of","the",2.56788415760988e-06
"are part of a",6,"are","part","of","a",2.56788415760988e-06
"are part of the",10,"are","part","of","the",4.2798069293498e-06
"are so many people",8,"are","so","many","people",3.42384554347984e-06
"are some of my",7,"are","some","of","my",2.99586485054486e-06
"are some of the",14,"are","some","of","the",5.99172970108972e-06
"are still in the",6,"are","still","in","the",2.56788415760988e-06
"are the ones that",6,"are","the","ones","that",2.56788415760988e-06
"are the ones who",7,"are","the","ones","who",2.99586485054486e-06
"are we going to",8,"are","we","going","to",3.42384554347984e-06
"are you fucking kidding",5,"are","you","fucking","kidding",2.1399034646749e-06
"are you going to",43,"are","you","going","to",1.84031697962042e-05
"are you kidding me",6,"are","you","kidding","me",2.56788415760988e-06
"are you ready for",7,"are","you","ready","for",2.99586485054486e-06
"are you ready to",12,"are","you","ready","to",5.13576831521976e-06
"are you talking about",8,"are","you","talking","about",3.42384554347984e-06
"are you waiting for",6,"are","you","waiting","for",2.56788415760988e-06
"around the corner from",6,"around","the","corner","from",2.56788415760988e-06
"around the world in",5,"around","the","world","in",2.1399034646749e-06
"as a form of",5,"as","a","form","of",2.1399034646749e-06
"as a matter of",14,"as","a","matter","of",5.99172970108972e-06
"as a member of",8,"as","a","member","of",3.42384554347984e-06
"as a result of",37,"as","a","result","of",1.58352856385943e-05
"as a result the",7,"as","a","result","the",2.99586485054486e-06
"as a way to",16,"as","a","way","to",6.84769108695968e-06
"as a whole is",5,"as","a","whole","is",2.1399034646749e-06
"as an example of",6,"as","an","example","of",2.56788415760988e-06
"as far as i",9,"as","far","as","i",3.85182623641482e-06
"as far as im",5,"as","far","as","im",2.1399034646749e-06
"as far as the",9,"as","far","as","the",3.85182623641482e-06
"as far back as",6,"as","far","back","as",2.56788415760988e-06
"as i mentioned in",5,"as","i","mentioned","in",2.1399034646749e-06
"as i type this",5,"as","i","type","this",2.1399034646749e-06
"as if it were",5,"as","if","it","were",2.1399034646749e-06
"as is and is",8,"as","is","and","is",3.42384554347984e-06
"as it is to",5,"as","it","is","to",2.1399034646749e-06
"as it turns out",7,"as","it","turns","out",2.99586485054486e-06
"as long as he",6,"as","long","as","he",2.56788415760988e-06
"as long as i",20,"as","long","as","i",8.55961385869961e-06
"as long as it",13,"as","long","as","it",5.56374900815474e-06
"as long as possible",5,"as","long","as","possible",2.1399034646749e-06
"as long as the",11,"as","long","as","the",4.70778762228478e-06
"as long as they",9,"as","long","as","they",3.85182623641482e-06
"as long as we",9,"as","long","as","we",3.85182623641482e-06
"as long as you",21,"as","long","as","you",8.98759455163459e-06
"as luck would have",5,"as","luck","would","have",2.1399034646749e-06
"as much as billion",5,"as","much","as","billion",2.1399034646749e-06
"as much as i",38,"as","much","as","i",1.62632663315293e-05
"as much as possible",17,"as","much","as","possible",7.27567177989467e-06
"as much as the",8,"as","much","as","the",3.42384554347984e-06
"as much as they",7,"as","much","as","they",2.99586485054486e-06
"as one of the",26,"as","one","of","the",1.11274980163095e-05
"as opposed to the",9,"as","opposed","to","the",3.85182623641482e-06
"as part of a",14,"as","part","of","a",5.99172970108972e-06
"as part of an",7,"as","part","of","an",2.99586485054486e-06
"as part of my",5,"as","part","of","my",2.1399034646749e-06
"as part of the",37,"as","part","of","the",1.58352856385943e-05
"as quickly as possible",11,"as","quickly","as","possible",4.70778762228478e-06
"as soon as i",20,"as","soon","as","i",8.55961385869961e-06
"as soon as possible",12,"as","soon","as","possible",5.13576831521976e-06
"as soon as the",9,"as","soon","as","the",3.85182623641482e-06
"as soon as they",5,"as","soon","as","they",2.1399034646749e-06
"as soon as you",9,"as","soon","as","you",3.85182623641482e-06
"as well as a",27,"as","well","as","a",1.15554787092445e-05
"as well as an",9,"as","well","as","an",3.85182623641482e-06
"as well as for",9,"as","well","as","for",3.85182623641482e-06
"as well as other",5,"as","well","as","other",2.1399034646749e-06
"as well as the",50,"as","well","as","the",2.1399034646749e-05
"as well as to",6,"as","well","as","to",2.56788415760988e-06
"as you can see",20,"as","you","can","see",8.55961385869961e-06
"as you may have",5,"as","you","may","have",2.1399034646749e-06
"asked me if i",6,"asked","me","if","i",2.56788415760988e-06
"assault with a deadly",6,"assault","with","a","deadly",2.56788415760988e-06
"associates programmes designed to",8,"associates","programmes","designed","to",3.42384554347984e-06
"at a cost of",5,"at","a","cost","of",2.1399034646749e-06
